doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chuan-bi-bang-chung-tra-hang,data/ecommerce/chuan-bi-bang-chung-tra-hang.md,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79467-%5BTr%E1%BA%A3-h%C3%A0ng%2FHo%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-chu%E1%BA%A9n-b%E1%BB%8B-b%E1%BA%B1ng-ch%E1%BB%A9ng-khi-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n,2026-09-20,not-stated,public-source
gui-yeu-cau-tra-hang-hoan-tien,data/ecommerce/gui-yeu-cau-tra-hang-hoan-tien.md,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-g%C6%B0%CC%89i-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n,2026-09-20,not-stated,public-source
dong-goi-don-hang-hoan-tra,data/ecommerce/dong-goi-don-hang-hoan-tra.md,Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508-%5BTr%E1%BA%A3-h%C3%A0ng%2F-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1ch-%C4%91%C3%B3ng-g%C3%B3i-%C4%91%C6%A1n-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3,2026-09-20,not-stated,public-source
kiem-tra-tien-hoan-shopeepay,data/ecommerce/kiem-tra-tien-hoan-shopeepay.md,Kiểm tra tiền hoàn vào Ví ShopeePay,https://help.shopee.vn/portal/4/article/79498-%5BShopeePay%5D-L%C3%A0m-sao-%C4%91%E1%BB%83-ki%E1%BB%83m-tra-ti%E1%BB%81n-%C4%91%C3%A3-ho%C3%A0n-v%C3%A0o-V%C3%AD-ShopeePay-hay-ch%C6%B0a%3F,2026-09-20,not-stated,public-source
quy-trinh-shopee-xu-ly-yeu-cau-tra-hang,data/ecommerce/quy-trinh-shopee-xu-ly-yeu-cau-tra-hang.md,Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79496,2026-09-20,not-stated,public-source
thoi-gian-nhan-tien-hoan,data/ecommerce/thoi-gian-nhan-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/79507,2026-09-20,not-stated,public-source
phuong-thuc-gui-hang-hoan-tra-va-phi,data/ecommerce/phuong-thuc-gui-hang-hoan-tra-va-phi.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/79131,2026-09-20,not-stated,public-source
cach-xu-ly-hang-tra-ve-mat-be-vo,data/ecommerce/cach-xu-ly-hang-tra-ve-mat-be-vo.md,Cách xử lý hàng trả về bị mất/ bể vỡ (dành cho Người bán),https://banhang.shopee.vn/edu/article/3643,2026-09-20,2023-01-17,public-source
quy-trinh-tra-hang-hoan-tien-nguoi-ban,data/ecommerce/quy-trinh-tra-hang-hoan-tien-nguoi-ban.md,Quy trình Trả hàng/Hoàn tiền trên Shopee dành cho Người bán,https://banhang.shopee.vn/edu/article/563,2026-09-20,2026-08-20,public-source

